name,aliases,titles,wikiUrl,race,birth,death,gender,culture,hair,height,realm,spouse,_id
Finduilas of Dol Amroth,,,http://lotr.wikia.com//wiki/Finduilas_of_Dol_Amroth,Human,TA 2950,TA 2988,Female,,Dark,,,Denethor II,ObjectId(5cd99d4bde30eff6ebccfce8)
Fingolfin,,,http://lotr.wikia.com//wiki/Fingolfin,Elf,YT 1190,FA 455,Male,,Dark,,"Hithlum,Beleriand",Anairë,ObjectId(5cd99d4bde30eff6ebccfce9)
Farin,,,http://lotr.wikia.com//wiki/Farin,Dwarf,TA 2560,TA 2803,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcea)
Fingon,,,http://lotr.wikia.com//wiki/Fingon,Elf,"YT during the ,Noontide of Valinor",FA 472,Male,,Dark,,Hithlum,,ObjectId(5cd99d4bde30eff6ebccfceb)
Finrod,,,http://lotr.wikia.com//wiki/Finrod,Elf,YT 1300,FA 465,Male,,Golden,,,"Loved ,Amarië but they never married",ObjectId(5cd99d4bde30eff6ebccfcec)
Finwë,,,http://lotr.wikia.com//wiki/Finw%C3%AB,Elf,"YT, and perhaps Firstborn",YT 1495,Male,,Black,,"Tirion,Formenos","Míriel Serindë then ,Indis",ObjectId(5cd99d4bde30eff6ebccfced)
Flói,,,http://lotr.wikia.com//wiki/Fl%C3%B3i,Dwarf,"Late ,Third Age",TA 2994,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfcee)
Faramir,,,http://lotr.wikia.com//wiki/Faramir,Human,TA 2983,"February 26 ,82",Male,,Raven,,Minas Ithil,owyn,ObjectId(5cd99d4bde30eff6ebccfcef)
Folca,,,http://lotr.wikia.com//wiki/Folca,Human,TA 2804,TA 2864,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcf0)
Fastolph Bolger,,,http://lotr.wikia.com//wiki/Fastolph_Bolger,Hobbit,SR 1210,,Male,,,,Shire,Pansy Baggins,ObjectId(5cd99d4bde30eff6ebccfcf1)
Folcred,,,http://lotr.wikia.com//wiki/Folcred,Human,TA 2858,TA 2885,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfcf2)
Forlong,,,http://lotr.wikia.com//wiki/Forlong,Human,"Late ,Third Age",TA 3019,Male,,,,,unknown,ObjectId(5cd99d4bde30eff6ebccfcf3)
Folcwine,,,http://lotr.wikia.com//wiki/Folcwine,Human,TA 2830,TA 2903,Male,,,,Rohan,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcf4)
Fortinbras Took I,,,http://lotr.wikia.com//wiki/Fortinbras_Took_I,Hobbit,TA 2745,TA 2848,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcf5)
Forthwini,,,http://lotr.wikia.com//wiki/Forthwini,Human,"Mid ,Third Age",TA 1944,Male,,,,,"Unknown, but possible since he had descendants",ObjectId(5cd99d4bde30eff6ebccfcf6)
Forweg,,,http://lotr.wikia.com//wiki/Forweg,Human,"Late ,First Age",Late First Age,Male,,Fair,,,"Unknown, probably none",ObjectId(5cd99d4bde30eff6ebccfcf7)
Freca,,,http://lotr.wikia.com//wiki/Freca,Human,TA 2698,TA 2754,Male,,Dark,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcf8)
Fram,,,http://lotr.wikia.com//wiki/Fram,Human,TA 1967,"Unknown, sometime after ,TA 2000",Male,,,,,"Unknown, probably as he had descendants",ObjectId(5cd99d4bde30eff6ebccfcf9)
Frerin,,,http://lotr.wikia.com//wiki/Frerin,Dwarf,TA 2751,TA 2799,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfcfa)
Frumgar,,,http://lotr.wikia.com//wiki/Frumgar,Human,TA 1940,TA 2001,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcfb)
Fréawine,,,http://lotr.wikia.com//wiki/Fr%C3%A9awine,Human,TA 2594,TA 2680,Male,,,,Rohan,,ObjectId(5cd99d4bde30eff6ebccfcfc)
Frór,,,http://lotr.wikia.com//wiki/Fr%C3%B3r,Dwarf,TA 2552,TA 2589,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfcfd)
Frár,,,http://lotr.wikia.com//wiki/Fr%C3%A1r,Dwarf,"Late ,Third Age",November 102994,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfcfe)
Fundin,,,http://lotr.wikia.com//wiki/Fundin,Dwarf,TA 2662,TA 2799,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcff)
Fréa,,,http://lotr.wikia.com//wiki/Fr%C3%A9a,Human,TA 2570,TA 2659,Male,,,,Rohan,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd00)
Fréaláf Hildeson,,,http://lotr.wikia.com//wiki/Fr%C3%A9al%C3%A1f_Hildeson,Human,TA 2726,TA 2798,Male,,,,Rohan,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd01)
Fëanor,,,http://lotr.wikia.com//wiki/F%C3%ABanor,Elf,YT 1169,YT 1497,Male,,Raven,Tall,"Tirion,Formenos",Nerdanel,ObjectId(5cd99d4bde30eff6ebccfd02)
Fíriel,,,http://lotr.wikia.com//wiki/F%C3%ADriel,Human,TA 1896,,Female,,,,Arthedain,Arvedui,ObjectId(5cd99d4bde30eff6ebccfd03)
Fíli and Kíli,,,http://lotr.wikia.com//wiki/F%C3%ADli_and_K%C3%ADli,Dwarf,TA 2859,November 23TA 2941,Male,,Yellow,,,None,ObjectId(5cd99d4bde30eff6ebccfd04)
Galar,,,http://lotr.wikia.com//wiki/Galar,Dwarf,,,,,,,,,ObjectId(5cd99d4bde30eff6ebccfd05)
Galadriel,,,http://lotr.wikia.com//wiki/Galadriel,Elf,YT 1362,"Still alive: Departed over the sea on ,September 29 ,3021",Female,,Golden,Tall,"Eregion,Lothlórien,Caras Galadhon",Celeborn,ObjectId(5cd99d4bde30eff6ebccfd06)
Galdor,,,http://lotr.wikia.com//wiki/Galdor,Human,FA 417,FA 462,Male,,,Tall,,Hareth,ObjectId(5cd99d4bde30eff6ebccfd07)
Galion,,,http://lotr.wikia.com//wiki/Galion,Elf,,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd08)
Daisy Gamgee I,,,http://lotr.wikia.com//wiki/Daisy_Gamgee_I,Hobbit,TA 2972,FO 54,Female,,,,,,ObjectId(5cd99d4bde30eff6ebccfd09)
Frodo Gardner,,,http://lotr.wikia.com//wiki/Frodo_Gardner,Hobbit,FO 2,FO,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd0a)
Hamson Gamgee,,,http://lotr.wikia.com//wiki/Hamson_Gamgee,Hobbit,TA 2965,,Male,,,,,None,ObjectId(5cd99d4bde30eff6ebccfd0b)
May Gamgee,,,http://lotr.wikia.com//wiki/May_Gamgee,Hobbit,TA 2976,,Female,,,,,,ObjectId(5cd99d4bde30eff6ebccfd0c)
Samwise Gamgee,,,http://lotr.wikia.com//wiki/Samwise_Gamgee,Hobbit,"April 6 ,2980","Still alive, after going to the ,Undying Lands, in ,FO 61",Male,,Blond (movie),"1.22m (4'0"")",,Rosie Cotton,ObjectId(5cd99d4bde30eff6ebccfd0d)
Gamling,,,http://lotr.wikia.com//wiki/Gamling,Human,"Possibly late ,Third Age",,Male,,Possibly blond,,,,ObjectId(5cd99d4bde30eff6ebccfd0e)
Elanor Gardner,,,http://lotr.wikia.com//wiki/Elanor_Gardner,Hobbit,March 253021,"Early ,Fourth Age",Female,,Blonde or Golden,,,Fastred of Greenholm,ObjectId(5cd99d4bde30eff6ebccfd0f)
Gelmir,,,http://lotr.wikia.com//wiki/Gelmir,Elf,,FA 473,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd10)
Hamfast Gamgee,,,http://lotr.wikia.com//wiki/Hamfast_Gamgee,Hobbit,TA 2926,FO 7 (SR 1428),Male,,"Brown, later gray","1.2m (3'11"")",,Bell Goodchild,ObjectId(5cd99d4bde30eff6ebccfd11)
Halfred Gamgee,,,http://lotr.wikia.com//wiki/Halfred_Gamgee,Hobbit,TA 2969,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd12)
Galdor of the Havens,,,http://lotr.wikia.com//wiki/Galdor_of_the_Havens,Elf,,,Male,,Golden (movie),6'3 (movie),,,ObjectId(5cd99d4bde30eff6ebccfd13)
Gil-galad,,,http://lotr.wikia.com//wiki/Gil-galad,Elf,FA 450,SA 3441,Male,,Possibly golden (book) Dark brown (movie),Tall,"Havens of Sirion,Lindon",,ObjectId(5cd99d4bde30eff6ebccfd14)
Gildis,,,http://lotr.wikia.com//wiki/Gildis,Human,First Age,,Female,,,,,"Hador, Lórindol",ObjectId(5cd99d4bde30eff6ebccfd15)
Gildor (Edain),,,http://lotr.wikia.com//wiki/Gildor_(Edain),Human,"Late ,First Age",FA 460,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd16)
Gildor Inglorion,,,http://lotr.wikia.com//wiki/Gildor_Inglorion,Elf,,Possible sailed West,Male,,Golden,,,,ObjectId(5cd99d4bde30eff6ebccfd17)
Gilfanon,,,http://lotr.wikia.com//wiki/Gilfanon,Elf,,Presumably still alive,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd18)
Ghân-buri-Ghân,,,http://lotr.wikia.com//wiki/Gh%C3%A2n-buri-Gh%C3%A2n,Human,"Late ,Third Age",,Male,,Black,Short,,,ObjectId(5cd99d4bde30eff6ebccfd19)
Gethron,,,http://lotr.wikia.com//wiki/Gethron,Human,"Mid ,First Age",,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd1a)
Gilraen,,,http://lotr.wikia.com//wiki/Gilraen,Human,TA 2907,TA 3007,Female,,Blonde (film),"Unknown (book) 1.66m (5'5"") (film)",,Arathorn II,ObjectId(5cd99d4bde30eff6ebccfd1b)
Gelmir (of Angrod's kin),,,http://lotr.wikia.com//wiki/Gelmir_(of_Angrod%27s_kin),Elf,,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd1c)
Girion,,,http://lotr.wikia.com//wiki/Girion,Human,TA 2732,TA 2770,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd1d)
Gimilzagar,,,http://lotr.wikia.com//wiki/Gimilzagar,Human,SA 2630,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd1e)
Glorfindel,,,http://lotr.wikia.com//wiki/Glorfindel,Elf,"Possibly ,YT",FA 510,Male,,Golden,Tall,,None,ObjectId(5cd99d4bde30eff6ebccfd1f)
Glirhuin,,,http://lotr.wikia.com//wiki/Glirhuin,Human,"Unknown, late fifth or sixth century ,First Age",,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd20)
Gléowine,,,http://lotr.wikia.com//wiki/Gl%C3%A9owine,Human,"Late ,Third Age",,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd21)
Gimilkhâd,,,http://lotr.wikia.com//wiki/Gimilkh%C3%A2d,Human,SA 3044,SA 3243,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd22)
Gimli,,,http://lotr.wikia.com//wiki/Gimli,Dwarf,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,,Auburn,,,,ObjectId(5cd99d4bde30eff6ebccfd23)
Golasgil,,,http://lotr.wikia.com//wiki/Golasgil,Human,"Late ,Third Age",,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd24)
Goldwine,,,http://lotr.wikia.com//wiki/Goldwine,Human,TA 2619,TA 2699,Male,,,,Rohan,,ObjectId(5cd99d4bde30eff6ebccfd25)
Hanna (Goldworthy) Brandybuck,,,http://lotr.wikia.com//wiki/Hanna_(Goldworthy)_Brandybuck,Hobbit,,,Female,,,,,Madoc Brandybuck,ObjectId(5cd99d4bde30eff6ebccfd26)
Gorbulas Brandybuck,,,http://lotr.wikia.com//wiki/Gorbulas_Brandybuck,Hobbit,TA 2908,"Before ,TA 3001",Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd27)
Gorhendad (Oldbuck) Brandybuck,,,http://lotr.wikia.com//wiki/Gorhendad_(Oldbuck)_Brandybuck,Hobbit,TA 2274,,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd28)
Gorlim,,,http://lotr.wikia.com//wiki/Gorlim,Human,"Late ,First Age",FA 460,Male,,,,,Eilinel,ObjectId(5cd99d4bde30eff6ebccfd29)
Glóin (King of Durin's Folk),,,http://lotr.wikia.com//wiki/Gl%C3%B3in_(King_of_Durin%27s_Folk),Dwarf,TA 2136,TA 2385,Male,,,,Grey Mountains,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd2a)
Glóin,,,http://lotr.wikia.com//wiki/Gl%C3%B3in,Dwarf,TA 2783,FO 15,Male,,"Red, later White",,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd2b)
Glóredhel,,,http://lotr.wikia.com//wiki/Gl%C3%B3redhel,Human,FA 415,FA 473,Female,,Blonde,,,Haldir,ObjectId(5cd99d4bde30eff6ebccfd2c)
Gormadoc Deepdelver Brandybuck,,,http://lotr.wikia.com//wiki/Gormadoc_%22Deepdelver%22_Brandybuck,Hobbit,,,,,,,,,ObjectId(5cd99d4bde30eff6ebccfd2d)
Gram,,,http://lotr.wikia.com//wiki/Gram,Human,TA 2668,TA 2741,Male,,,,Rohan,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd2e)
Holman Greenhand,,,http://lotr.wikia.com//wiki/Holman_Greenhand,Hobbit,TA 2810,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd2f)
Rose Greenhand,,,http://lotr.wikia.com//wiki/Rose_Greenhand,Hobbit,TA 2862,,Female,,,,,Cotman Cotton,ObjectId(5cd99d4bde30eff6ebccfd30)
Grimbeorn,,,http://lotr.wikia.com//wiki/Grimbeorn,Human,"Unknown, probably several years or so after the ,Battle of Five Armies","Unknown, early ,Fourth Age",Male,,Dark,Tall (in Man-form),,,ObjectId(5cd99d4bde30eff6ebccfd31)
Grimbold,,,http://lotr.wikia.com//wiki/Grimbold,Human,"Late ,Third Age","March 15 ,3019",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd32)
Grithnir,,,http://lotr.wikia.com//wiki/Grithnir,Human,"Mid ,First Age",FA 474,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd33)
Gróin,,,http://lotr.wikia.com//wiki/Gr%C3%B3in,Dwarf,TA 2671,TA 2923,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd34)
Halfred Greenhand,,,http://lotr.wikia.com//wiki/Halfred_Greenhand,Hobbit,TA 2851,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd35)
Erling Greenhand,,,http://lotr.wikia.com//wiki/Erling_Greenhand,Hobbit,TA 2854,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd36)
Guilin,,,http://lotr.wikia.com//wiki/Guilin,Elf,,,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd37)
Hending Greenhand,,,http://lotr.wikia.com//wiki/Hending_Greenhand,Hobbit,TA 2859,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd38)
Grór,,,http://lotr.wikia.com//wiki/Gr%C3%B3r,Dwarf,TA 2563,TA 2805,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd39)
Gundor,,,http://lotr.wikia.com//wiki/Gundor,Human,"Mid ,First Age",FA 456,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd3a)
Guthláf,,,http://lotr.wikia.com//wiki/Guthl%C3%A1f,Human,"Late ,Third Age","March 15 ,3019",Male,,Blond,,,,ObjectId(5cd99d4bde30eff6ebccfd3b)
Hador,,,http://lotr.wikia.com//wiki/Hador,Human,FA 390,FA 455,Male,,Golden,,,Gildis,ObjectId(5cd99d4bde30eff6ebccfd3c)
Hador (Steward),,,http://lotr.wikia.com//wiki/Hador_(Steward),Human,TA 2245,TA 2395,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd3d)
Halbarad,,,http://lotr.wikia.com//wiki/Halbarad,Human,TA 2916,"March 15 ,3019",Male,,Black,Tall,,,ObjectId(5cd99d4bde30eff6ebccfd3e)
Haldir (Haladin),,,http://lotr.wikia.com//wiki/Haldir_(Haladin),Human,FA 413,FA 473,Male,,,,,Glóredhel,ObjectId(5cd99d4bde30eff6ebccfd3f)
Gálmód,,,http://lotr.wikia.com//wiki/G%C3%A1lm%C3%B3d,Human,TA 2940,TA 3015,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd40)
Gwindor,,,http://lotr.wikia.com//wiki/Gwindor,Elf,"Unknown, possibly during the ,First Age",FA 495,Male,,Became grey in captivity,,,"None, betrothed to ,Finduilas",ObjectId(5cd99d4bde30eff6ebccfd41)
Haldir (Lorien),,,http://lotr.wikia.com//wiki/Haldir_(Lorien),Elf,,TA 3019,Male,,Golden,,,,ObjectId(5cd99d4bde30eff6ebccfd42)
Haleth,,,http://lotr.wikia.com//wiki/Haleth,Human,FA 341,FA 420,Female,,,,,None,ObjectId(5cd99d4bde30eff6ebccfd43)
Gárulf,,,http://lotr.wikia.com//wiki/G%C3%A1rulf,Human,"Late-,Third Age","February 28 ,3019",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd44)
Haleth (Helm's son),,,http://lotr.wikia.com//wiki/Haleth_(Helm%27s_son),Human,"Late ,Third Age","Winter of ,TA 2758",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd45)
Hallacar,,,http://lotr.wikia.com//wiki/Hallacar,Human,SA 852,SA 1211,Male,,,,,Tar-Ancalimë,ObjectId(5cd99d4bde30eff6ebccfd46)
Hallas (Steward),,,http://lotr.wikia.com//wiki/Hallas_(Steward),Human,TA 2480,TA 2605,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd47)
Halmir,,,http://lotr.wikia.com//wiki/Halmir,Human,"Late ,First Age",Late First Age,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd48)
Hallatan,,,http://lotr.wikia.com//wiki/Hallatan,Human,SA 711,"Mid ,Second Age",Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd49)
Hamfast of Gamwich,,,http://lotr.wikia.com//wiki/Hamfast_of_Gamwich,Hobbit,TA 2760,,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd4a)
Hareth,,,http://lotr.wikia.com//wiki/Hareth,Human,FA 419,,Female,,,,,Galdor,ObjectId(5cd99d4bde30eff6ebccfd4b)
Harding,,,http://lotr.wikia.com//wiki/Harding,Human,"Late ,Third Age","March 15 ,3019",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd4c)
Hardang,,,http://lotr.wikia.com//wiki/Hardang,Human,FA 470,FA 501,Male,,,,,None,ObjectId(5cd99d4bde30eff6ebccfd4d)
Hathaldir,,,http://lotr.wikia.com//wiki/Hathaldir,Human,"Mid ,First Age",FA 460,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd4e)
Hatholdir,,,http://lotr.wikia.com//wiki/Hatholdir,Human,"Sometime before ,SA 799",,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd4f)
Helm Hammerhand,,,http://lotr.wikia.com//wiki/Helm_Hammerhand,Human,TA 2691,TA 2759,Male,,,,Rohan,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd50)
Hathol,,,http://lotr.wikia.com//wiki/Hathol,Human,F.A. 365,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd51)
Handir,,,http://lotr.wikia.com//wiki/Handir,Human,FA 441,FA 495,,,,,Brethil,Beldis,ObjectId(5cd99d4bde30eff6ebccfd52)
Henderch,,,http://lotr.wikia.com//wiki/Henderch,Human,"Early ,Second Age",unknown,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd53)
Herefara,,,http://lotr.wikia.com//wiki/Herefara,Human,"Late-,Third Age","March 15 ,3019",Male,,Gray,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd54)
Hendor,,,http://lotr.wikia.com//wiki/Hendor,Elf,,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd55)
Herion,,,http://lotr.wikia.com//wiki/Herion,Human,TA 2037,TA 2148,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd56)
Herubrand,,,http://lotr.wikia.com//wiki/Herubrand,Human,"Late-,Third Age","March 15 ,3019",Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd57)
Herucalmo,,,http://lotr.wikia.com//wiki/Herucalmo,Human,SA 2286,SA 2657,Male,,,,,Tar-Vanimeldë,ObjectId(5cd99d4bde30eff6ebccfd58)
Hirgon,,,http://lotr.wikia.com//wiki/Hirgon,Human,"Late ,Third Age",TA 3019,Male,,,Tall,,,ObjectId(5cd99d4bde30eff6ebccfd59)
Hirluin,,,http://lotr.wikia.com//wiki/Hirluin,Human,"Late ,Third Age","March 15 ,3019",Male,,,Tall,,,ObjectId(5cd99d4bde30eff6ebccfd5a)
Hob Gammidge,,,http://lotr.wikia.com//wiki/Hob_Gammidge,Hobbit,TA 2846,,Male,,,,,Rowan,ObjectId(5cd99d4bde30eff6ebccfd5b)
Hob Hayward,,,http://lotr.wikia.com//wiki/Hob_Hayward,Hobbit,"Late ,Third Age",,Male,,,,Shire,,ObjectId(5cd99d4bde30eff6ebccfd5c)
Tobias Hornblower,,,http://lotr.wikia.com//wiki/Tobias_Hornblower,Hobbit,"Late ,Third Age","Late ,TA 3018",Male,,,,Shire,,ObjectId(5cd99d4bde30eff6ebccfd5d)
Holfast Gardner,,,http://lotr.wikia.com//wiki/Holfast_Gardner,Hobbit,,,,,,,,,ObjectId(5cd99d4bde30eff6ebccfd5e)
Horn,,,http://lotr.wikia.com//wiki/Horn,Human,"Possibly late ,Third Age","March 15 ,TA 3019",Male,,Blond (Video game),,,,ObjectId(5cd99d4bde30eff6ebccfd5f)
Hundad,,,http://lotr.wikia.com//wiki/Hundad,Human,"Mid ,FA",Mid FA,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd60)
Hundar,,,http://lotr.wikia.com//wiki/Hundar,Human,"Late ,First Age",FA 473,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd61)
Hunthor,,,http://lotr.wikia.com//wiki/Hunthor,Human,"Late ,FA",FA 499,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd62)
Huor,,,http://lotr.wikia.com//wiki/Huor,Human,FA 442,FA 473,Male,,Golden,Tallest of all mortal men save his son Tuor only,,Rían,ObjectId(5cd99d4bde30eff6ebccfd63)
Hyarmendacil I,,,http://lotr.wikia.com//wiki/Hyarmendacil_I,Human,TA 899,TA 1149,Male,,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd64)
Hyarmendacil II,,,http://lotr.wikia.com//wiki/Hyarmendacil_II,Human,TA 1391,TA 1621,Male,,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd65)
Háma,,,http://lotr.wikia.com//wiki/H%C3%A1ma,Human,TA 2975,"March 3, or ,4 ,3019",Male,,Reddish brown (movie),,,"Unknown, possibly none",ObjectId(5cd99d4bde30eff6ebccfd66)
Húrin II,,,http://lotr.wikia.com//wiki/H%C3%BArin_II,Human,TA 2515,TA 2628,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd67)
Háma (Helm's son),,,http://lotr.wikia.com//wiki/H%C3%A1ma_(Helm%27s_son),Human,"Late ,Third Age","Winter of ,TA 2759",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd68)
Húrin of Emyn Arnen,,,http://lotr.wikia.com//wiki/H%C3%BArin_of_Emyn_Arnen,Human,"Mid-,Third Age","Mid-,Third Age",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd69)
Húrin,,,http://lotr.wikia.com//wiki/H%C3%BArin,Human,FA 441,FA 502,Male,,"Golden, grey (in old age)",,,Morwen Eledhwen,ObjectId(5cd99d4bde30eff6ebccfd6a)
Imin,,,http://lotr.wikia.com//wiki/Imin,Elf,"Unknown, Awakened in the ,Years of the Trees",,Male,,,,,Iminyë,ObjectId(5cd99d4bde30eff6ebccfd6b)
Iminyë,,,http://lotr.wikia.com//wiki/Iminy%C3%AB,Elf,"Unknown, Awakened in the ,Years of the Trees",,Female,,,,,Imin,ObjectId(5cd99d4bde30eff6ebccfd6c)
Imlach,,,http://lotr.wikia.com//wiki/Imlach,Human,around FA 325,First Age,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd6d)
Imrahil,,,http://lotr.wikia.com//wiki/Imrahil,Human,TA 2955,FO 34,Male,,Black,Tall,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd6e)
Imrazôr,,,http://lotr.wikia.com//wiki/Imraz%C3%B4r,Human,TA 1950,TA 2076,Male,,,,,Mithrellas,ObjectId(5cd99d4bde30eff6ebccfd6f)
Idril,,,http://lotr.wikia.com//wiki/Idril,Elf,YT 1469,Still Alive,Female,,Golden,Tall,,Tuor,ObjectId(5cd99d4bde30eff6ebccfd70)
Ibûn,,,http://lotr.wikia.com//wiki/Ib%C3%BBn,Dwarf,,FA 489,Male,,,,,"Unknown, possibly none",ObjectId(5cd99d4bde30eff6ebccfd71)
Indis,,,http://lotr.wikia.com//wiki/Indis,Elf,,Still Alive,Female,,Golden,Tall,Tirion,Finwë,ObjectId(5cd99d4bde30eff6ebccfd72)
Húrin I,,,http://lotr.wikia.com//wiki/H%C3%BArin_I,Human,TA 2124,TA 2244,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd73)
Ingwë,,,http://lotr.wikia.com//wiki/Ingw%C3%AB,Elf,"YT, and perhaps firstborn",Still Alive,Male,,Probably Golden,Tall,"Valinor,Taniquetil",Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd74)
Inzilbêth,,,http://lotr.wikia.com//wiki/Inzilb%C3%AAth,Human,"Late ,Second Age",,Female,,,,,Ar-Gimilzôr,ObjectId(5cd99d4bde30eff6ebccfd75)
Ioreth,,,http://lotr.wikia.com//wiki/Ioreth,Human,"Late ,Third Age",,Female,,,,,,ObjectId(5cd99d4bde30eff6ebccfd76)
Iorlas,,,http://lotr.wikia.com//wiki/Iorlas,Human,"b. ,TA 2990","Early-,Fourth Age",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd77)
Isembold Took,,,http://lotr.wikia.com//wiki/Isembold_Took,Hobbit,TA 2842,TA 2946,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd78)
Ingold,,,http://lotr.wikia.com//wiki/Ingold,Human,"Late ,Third Age","Early ,Fourth Age",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfd79)
Isengrim Took III,,,http://lotr.wikia.com//wiki/Isengrim_Took_III,Hobbit,TA 2832,TA 2930,Male,,,,,Not married,ObjectId(5cd99d4bde30eff6ebccfd7a)
Indor,,,http://lotr.wikia.com//wiki/Indor,Human,"Mid ,First Age",FA 495,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd7b)
Ingwion,,,http://lotr.wikia.com//wiki/Ingwion,Elf,YT,"Unknown, probably still alive",Male,,Probably Golden,,,,ObjectId(5cd99d4bde30eff6ebccfd7c)
Isilmo,,,http://lotr.wikia.com//wiki/Isilmo,Human,"After ,SA 1320","Before ,SA 1731",Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfd7d)
Ivriniel,,,http://lotr.wikia.com//wiki/Ivriniel,Human,TA 2947,,Female,,,,,,ObjectId(5cd99d4bde30eff6ebccfd7e)
